Product Master,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Printed by ITD436_OP1 at 22/05/2026 12:14:45,,,,,
Status :,,Active,,,,,,,,,,,,,,,,,,,,,,,,
Category :,,CG - 01 CIGARETTE,,,,,,,,,,,,,,,,,,,,,,,,
Sub Category :,,"CACFT - FILTER,CACKS - KING SIZE,CACSK - SUPER KINGS,CADRS - REGULAR SIZE,CAMKS - KING SIZE,CAMLO - LONGS,CAMRS - REGULAR SIZE,CAMSK - SUPER KINGS,CBHKS - KING SIZE,CBHLO - LONGS,CBHRS - REGULAR SIZE,...",,,,,,,,,,,,,,,,,,,,,,,,
Product :,,"1000 - NAVYCUT FT 10PP_1000,1006 - GOLD FLAKE PREM MINT SWITCH 10BE_1006,1012 - NAVYCUT FT 20PP_1012,1016 - NAVY CUT SPECIAL FT-500S 10BE_1016,1017 - NAVYCUT FILTER 10HL BE_1017,102 - PLAYERS GOLD LEA...",,,,,,,,,,,,,,,,,,,,,,,,
SBU,Category,Sub Category,MSKU,Vajra Product Group Name,Button Description,Item Code,Item Description,WD Customised Description,HSN,EAN Number,Item Status,PTR per PAC,MRP,UOM1,UOM1 Conversion,UOM2,UOM2 Conversion,UOM3,UOM3 Conversion,Number of PACs in CFC,Number of PACs in Outer,License on SKU,SGST%,CGST%,Cess%,Addl Cess per M
C,CG,CCLKS,CLFINTASTLOWSMEL20,,,3483,CL FINET LS NPCT FS -CC-BDG20BE_3483,Cl FineT LS NPCT FS -CC-BDG20BE_3483,2402 20 90,8901725008819,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFLKBT10,,,3751,CL BT FIRMFT NB-MD1-10BE_3751,CL BT FIRMFT NB-MD1-10BE_3751,2402 20 90,8901725037116,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKBT20,,,3423,CLASSIC BT - 20FS_3423,Cl BT NB ND -CC-BDG 20FS_3423,2402 20 90,8901725033811,Active,215.86,340.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKBT20,,,3752,CLASSIC BT-20FS-MD1_3752,CLASSIC BT-20FS-MD1_3752,2402 20 90,8901725033811,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKREFT10,,,3753,CL REFN T FIRMFT-MD1-10 BE_3753,CL REFN T FIRMFT-MD1-10 BE_3753,2402 20 90,8901725037918,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKRT10,,,3055,CLASSIC RICH T FIRMFT -CC 10 RC_3055,Classic Rich T FirmFT -CC 10 RC_3055,2402 20 90,8901725036317,Active,107.93,170.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKRT10,,,3771,CL RICH T FIRMFT-MD1-10BE_3771,CL RICH T FIRMFT-MD1-10BE_3771,2402 20 90,8901725036317,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKRT20,,,3424,CL RICH T ND -CC-BDG 20FS_3424,Cl Rich T ND -CC-BDG 20FS_3424,2402 20 90,8901725034917,Active,215.86,340.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKRT20,,,3755,CL RICH T ND-MD1-BDG 20FS_3755,CL RICH T ND-MD1-BDG 20FS_3755,2402 20 90,8901725034917,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKVR16CP,,,3441,CLASSIC VERVE 16CP(4M)-OLV_3441,CLASSIC VERVE 16CP(4m)-olv_3441,2402 20 90,8901725040017,Active,198.86,312.00,CFC,4.000000,PAC,0.016000,OUT,,250.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTKVRBT16CP,,,3679,CLVERVE BALANCEDTASTE16CP-MD_3679,CLVERVE BALANCEDTASTE16CP-MD_3679,2402 20 90,8901725346614,Active,198.86,312.00,CFC,4.000000,PAC,0.016000,OUT,,250.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTLREFT20,,,3425,CL REFND T ND -CC-BDG 20FS_3425,Cl Refnd T ND -CC-BDG 20FS_3425,2402 20 90,8901725034115,Active,215.86,340.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLKS,CLFTLREFT20,,,3761,CL REFN T ND-MD1-BDG 20FS_3761,CL REFN T ND-MD1-BDG 20FS_3761,2402 20 90,8901725034115,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLLO,CLFTLONBT10,,,4469,CL BALANCED TASTE LONGS FT10BE_4469,CL BALANCED TASTE LONGS FT10BE_4469,2402 20 50,8902953446916,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLLO,CLFTLONREF10,,,4471,CL REFINED TASTE LONGS FT10BE_4471,CL REFINED TASTE LONGS FT10BE_4471,2402 20 50,8902953447111,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLLO,CLFTLONRT10,,,4470,CL RICH TASTE LONGS FT10BE_4470,CL RICH TASTE LONGS FT10BE_4470,2402 20 50,8902953447012,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLLO,CLICEBRSTOPTLON10,,,4499,CL ICE BURST OPTIMA LONGS 10BE_4499,CL ICE BURST OPTIMA LONGS 10BE_4499,2402 20 50,8902953449917,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLSK,CLASSICCONNECTFK20,,,3692,CLASSIC CONNECT FTK 20RC-10M_3692,CLASSIC CONNECT FTK 20RC-10M_3692,2402 20 90,8901725307912,Active,248.57,390.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLSK,CLASSICREFNDTSLK20,,,3678,CLASSIC REFINEDTASTE SLK 20RC_3678,CLASSIC REFINEDTASTE SLK 20RC_3678,2402 20 90,8902953367815,Active,264.28,440.00,CFC,4.000000,PAC,0.020000,OUT,,200.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLSK,CLCLOVEFTK12,,,3714,CLASSIC CLOVE KSFT_3714,CLASSIC CLOVE KSFT_3714,2402 20 90,8902953371416,Active,133.14,234.00,CFC,6.000000,PAC,0.012000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CCLSK,CLFTKBLUELEAF20,,,999,CLASSIC BLUE LEAF FTK 20BE_999,CLASSIC BLUE LEAF FTK 20BE_999,2402 20 90,8901725099916,Active,311.14,500.00,CFC,2.000000,PAC,0.020000,OUT,,100.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CFLDS,FLAKESKYDSFT10,,,4430,FLAKE SKY DSFT10BE_4430,FLAKE SKY DSFT10BE_4430,2402 20 30,8902953443014,Active,39.47,70.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CFLDS,FLFRFLVDSFT10,,,3018,FLAKE FRSH FLAV SPL DSFT NS 10BE_3018,Flake Frsh Flav Spl DSFT NS 10BE_3018,2402 20 30,8901725010645,Active,37.86,60.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CFLDS,FLINSTAFRSHSPL10,,,4506,FLAKE INSTA FRESH SPL DSFT 10BE_4506,FLAKE INSTA FRESH SPL DSFT 10BE_4506,2402 20 30,8902953450616,Active,38.47,70.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CFLDS,FLSPLDSFT10,,,3615,FLAKE SPECIAL DSFT NS 10BE-MD_3615,Flake Special DSFT NS 10BE-MD_3615,2402 20 30,8901725053215,Active,49.71,78.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
